scientific_name,common_names,family,duration,habit,size_category,bloom_color,fragrant,bloom_months,az_native,native_habitat,ecological_plant_groups,water_use,light_requirement,calcium_carbonate_tolerance,drought_tolerance,soil_type,watering,heat_tolerance,yard_uses,wildlife_attraction,toxic_humans,toxic_pets,toxic_part,nursery,prices,Price_category,Sizes Available,shoping_notes,images,page_link-href
Abronia villosa,"Desert Sand Verbena, Desert Sand-verbena, Desert Sandverbena",Nyctaginaceae (Four O'clock Family),Annual,Herb,Small,"Pink , Purple",Yes,"Feb , Mar , Apr , May , Jun , Jul",Y,Driest desert areas,Desert Plants,Low,Sun,High,High,"dry, well-drained, sandy, gravelly, alkaline",RAINFALL ONLY,Heat Lovers,"Ground Cover, Pollinator Garden, Wildflower Area",Native Bees,Not toxic,Not toxic,None,Not found (nursery); seed online,SEED-$3-5,Budget ($3-15),Seed only,Not available as container; seed only,../image_archive/320x240/SS500/SS500_IMG0036.JPG,https://www.wildflower.org/plants/result.php?id_plant=ABVI
Acaciella angustissima,"Prairie Acacia, Fern Acacia, Whiteball Acacia, Prairie Wattle, White-ball Acacia",Fabaceae (Pea Family),Perennial,Shrub,Medium,White,No,"Jun , Jul , Aug , Sep",N,"Prairie, Plains, Meadows, Pastures, Savannas, Woodlands' edge, Hillsides, Slopes, High elevation",Riparian & Moist Site Species,Low,"Sun, Part Shade",Medium,High,"well-drained, calcareous, sandy, loamy", WEEKLY WATERING,Heat Tolerant,"Pollinator Garden, Ground Cover, Slope Restoration",Native Bees,Not toxic*,Not toxic*,None,Not found Tucson,SEED-$3-5,Budget ($3-15),Seed only,Restoration/specialty seed supplier,../image_archive/320x240/PCD0664/PCD0664_IMG0021.JPG,https://www.wildflower.org/plants/result.php?id_plant=ACAN11
Acer glabrum,Rocky Mountain Maple,Aceraceae (Maple Family),Perennial,Tree,Extra Large,"Yellow , Green",No,"Apr , May",Y,Wooded hills; ravines along streams; above 4500 ft.,Riparian & Moist Site Species,Low,Sun,Medium,Medium,"moist, well-drained, rocky, loamy", WEEKLY WATERING,Heat Sensitive,"Shade Tree (Back/Side Yard), Wildlife Attraction","Browse (Deer, Elk), Birds, Pollinators",Not toxic,Not toxic (horses can be affected by some maples),None,Desert Survivors (seasonal),SMALL-$18-30,Moderate ($16-40),"1g, 5g","Special order, small containers",../image_archive/320x240/EPS/EPS_IMG13490.JPG,https://www.wildflower.org/plants/result.php?id_plant=ACGL
Acer grandidentatum,"Bigtooth Maple, Big-toothed Maple, Uvalde Bigtooth Maple, Southwestern Bigtooth Maple, Canyon Maple, Sabinal Maple, Western Sugar Maple",Aceraceae (Maple Family),Perennial,Tree/Shrub,Extra Large,"Yellow , Green",No,"Mar , Apr",Y,Moist soils of canyons in mountains and plateaus; in woodlands,Desert Plants,Low,"Sun, Part Shade",Medium,Medium,"moist, rocky, loamy, slightly alkaline tolerated",RAINFALL ONLY,Heat Sensitive,"Shade Tree, Large Accent, Native Habitat Garden","Browse (Deer, Elk), Birds, Pollinators",Not toxic,Not toxic*,None,"Civano, Desert Survivors (occasional)",MEDIUM-$30-95,Moderate ($16-40),"5g, 15g","Rare in retail, large containers",../image_archive/320x240/ETL/ETL_IMG0521.JPG,https://www.wildflower.org/plants/result.php?id_plant=ACGR3
Achnatherum hymenoides,"Indian Ricegrass, Indian Millet, Sandgrass",Poaceae (Grass Family),Perennial,Grass/Grass-like,Small,"Yellow , Green",No,"Jun , Jul , Aug , Sep",Y,Dry grasslands; deserts,Desert Plants,Low,Sun,High,High,"deep, sandy, rocky, well-drained",RAINFALL ONLY,Heat Lovers,"Ornamental Grass, Ground Cover, Erosion Control Slope","Birds, Butterflies, Skipper Larvae, Small Mammals",Not toxic,Not toxic,None,Native Seed Search,SEED-$3 SMALL-$8-10,Budget ($3-15),"Seed, 1g pot",Container rare; seed most common,../image_archive/320x240/SCB/SCB_IMG5942.JPG,https://www.wildflower.org/plants/result.php?id_plant=ACHY
Achnatherum speciosum,"Desert Needlegrass, Desert Rice Grass, Spear Grass",Poaceae (Grass Family),Perennial,Grass/Grass-like,Small,Yellow,No,"Apr , May",Y,Plains; deserts; canyons; rocky hills; 2000-6000 ft.,Arid Grasslands & Plains,Low,Sun,Medium,High,"rocky, sandy, well-drained",RAINFALL ONLY,Heat Lovers,"Ornamental Grass, Erosion Control Slope","Butterflies, Skipper Larvae, Birds",Not toxic,Not toxic,None,Not found (nursery); seed online,SEED-$3,Budget ($3-15),Seed only,Very limited nursery trade,../image_archive/320x240/JLR/JLR_IMG7737.JPG,https://www.wildflower.org/plants/result.php?id_plant=ACSP12
Agave americana,"American Century Plant, Century Plant",Agavaceae (Century-Plant Family),Perennial,Cactus/Succulent,Medium–Large,Yellow,Yes,"Jun , Jul",N,Unknown,Arid Grasslands & Plains,Low,Sun,High,High,"well-drained, rocky, sandy, loam, caliche",RAINFALL ONLY,Heat Lovers,"Accent Plant/Focal Point, Security Barrier, Xeriscape","Hummingbirds, Insects, Birds, Small Mammals, Bats (flowers)",Can cause mild irritation (sap),Mildly toxic (sap),"Sap, leaves (oxalates, saponins)","Civano, Green Things",SMALL-$10-40,Budget ($3-15),"1g, 3g, 5g, 15g",Many cultivars; varies widely,,https://www.wildflower.org/plants/result.php?id_plant=AGAM
Agave palmeri,"Palmer's Century Plant, Palmer Agave, Blue Century Plant",Agavaceae (Century-Plant Family),Perennial,Cactus/Succulent,Extra Large,"Yellow , Green",Yes,"Jun , Jul , Aug",Y,"Rocky, open slopes; 3500 to 7500 ft.",Desert Plants,Low,"Sun, Part Shade",High,High,"dry, rocky, calcareous, sandy",RAINFALL ONLY,Heat Tolerant,"Front Yard Accent, Focal Point, Security Barrier, Xeriscape","Arizona Giant-Skipper Larvae, Pollinators (insects, hummingbirds, bats)",Can cause mild irritation (sap),As above,"Sap, leaves","Desert Survivors, Civano",SMALL-$14-30,Budget ($3-15),"1g, 5g",Usually 1–5g only,../image_archive/320x240/RCM/RCM_IMG1310.JPG,https://www.wildflower.org/plants/result.php?id_plant=AGPA3
Agave parryi,"Parry's Agave, Century Plant, Parry Agave",Agavaceae (Century-Plant Family),Perennial,Cactus/Succulent,Small–Medium,Yellow,Yes,"Jun , Jul , Aug",Y,High deserts,Riparian & Moist Site Species,Low,Sun,High,High,"dry, rocky, well-drained, calcareous", WEEKLY WATERING,Heat Lovers,"Accent/Focal Point, Xeriscape, Rock Garden","Orange Giant-Skipper, Huachuca Giant-Skipper Larvae, Pollinators",Can cause mild irritation (sap),As above,"Sap, leaves","Civano, Green Things, Desert Survivors",SMALL-$14-45,Budget ($3-15),"1g, 3g, 5g, 15g",Multiple forms available,../image_archive/320x240/EWA/EWA_IMG02223.JPG,https://www.wildflower.org/plants/result.php?id_plant=AGPA4
Agrostis scabra,"Rough Bentgrass, Rough Bent, Ticklegrass, Fly-away Grass",Poaceae (Grass Family),Perennial,Grass/Grass-like,Medium,Yellow,No,"Mar , Apr",Y,Moist meadows; streamsides; open woods,Riparian & Moist Site Species,Medium,Sun,Medium,Medium,"sandy, mucky, moist", WEEKLY WATERING,Heat Sensitive,"Lawn Alternative, Ground Cover, Meadow Area","Birds, Skipper/Satyr Larvae, Small Mammals",Not toxic,Not toxic,None,Not found (nursery); seed online,SEED-$3-5,Budget ($3-15),Seed only,Rare in retail trade,../image_archive/320x240/EPS/EPS_IMG0405.JPG,https://www.wildflower.org/plants/result.php?id_plant=AGSC5
